L,R,F,M,C
-1.007872,-0.895435,1.561229,1.581991,-0.192547
1.665798,-0.834839,1.136013,1.370614,0.164832
0.180950,-0.724664,1.915576,1.415834,0.082206
1.539604,-0.845856,3.191225,1.725157,-0.401746
1.610367,-0.746699,1.277752,1.304968,0.289162
-0.464174,-0.757717,0.498188,0.619917,2.279246
-1.033818,-0.900943,1.632099,1.217947,0.467029
-0.242450,-0.636525,0.498188,1.784057,-0.482390
-0.400487,0.090626,-0.352244,1.583463,-0.197673
0.000504,0.393606,0.356450,0.591132,2.401842
1.872191,-0.900943,1.561229,1.649821,-0.297656
-0.290804,-0.862382,1.419491,1.571635,-0.181014
-0.473609,-0.895435,1.632099,1.566125,-0.172785
0.935758,-0.812804,0.639927,0.323895,3.866171
0.468721,-0.939504,1.136013,1.185125,0.533784
-0.025442,-0.807295,1.490360,1.555390,-0.157912
-0.940647,-0.823821,1.065144,1.347006,0.200701
-0.429972,-0.906452,0.143842,0.335390,3.784763
-0.381617,-0.895435,2.057315,1.417402,0.071323
-0.783788,-0.080144,0.852535,2.221204,-0.978275
1.067849,-0.906452,1.844707,1.846425,-0.567687
0.164439,-0.945013,1.561229,1.538718,-0.133272
1.532527,-0.945013,2.482531,1.627211,-0.269965
0.198641,-0.873400,1.915576,1.485137,-0.046797
1.703539,-0.818313,1.773837,1.486895,-0.050531
-0.156354,-0.911961,2.978617,1.527745,-0.118981
1.657542,-0.917470,2.907748,1.545558,-0.147965
0.758850,-0.091161,-0.493983,1.552398,-0.159936
-1.266157,-0.889926,2.907748,1.219467,0.449666
-0.951261,-0.741190,1.915576,1.553443,-0.162253
-0.100923,-0.102179,0.356450,0.665993,2.066137
-0.807376,-0.619999,1.136013,1.163274,0.571352
-0.273114,-0.856874,1.844707,1.549120,-0.156623
0.509999,-0.085653,-0.564852,0.622245,2.245487
1.011239,-0.895435,0.852535,1.205597,0.477154
-0.992540,-0.906452,0.994274,1.281170,0.319506
1.023032,-0.818313,1.348621,1.487037,-0.056904
1.115025,-0.906452,2.199054,1.330618,0.222310
-0.657594,-0.730173,0.852535,0.361847,3.592951
1.136254,-0.724664,1.702968,1.515917,-0.106363
0.268225,-0.933996,0.710797,1.309908,0.260346
0.793052,-0.829330,1.986446,1.711619,-0.399561
0.598453,-0.350071,0.994274,1.567455,-0.188376
-0.992540,-0.471263,0.710797,2.165296,-0.931642
1.690565,-0.911961,0.923405,1.428802,0.039603
-0.655235,-0.702629,-0.493983,1.584603,-0.216653
1.846244,-0.239897,1.206882,1.092926,0.728993
1.202299,-0.939504,6.309478,1.877063,-0.616293
0.679831,-0.697121,0.994274,1.425857,0.042631
1.938236,0.586411,0.639927,0.972845,1.037382
0.442774,-0.928487,2.128184,1.643741,-0.307211
0.373190,-0.862382,0.710797,1.074971,0.769601
0.539484,-0.564911,0.710797,1.472027,-0.039218
0.765926,-0.889926,0.639927,0.767501,1.672239
0.163259,-0.619999,0.356450,0.523871,2.680324
-0.314392,-0.746699,-0.281375,1.528553,-0.132874
1.480634,-0.642033,1.632099,1.155057,0.578884
2.263747,-0.945013,2.269923,1.323731,0.226562
-0.931211,-0.845856,1.561229,1.591348,-0.231216
-0.945364,-0.829330,1.702968,1.907653,-0.657276
-1.256722,-0.878909,0.923405,1.246685,0.379290
-0.560884,-0.878909,0.002103,0.756718,1.707359
-0.576216,-0.735682,0.923405,1.720834,-0.419314
0.176233,0.619464,1.277752,1.483997,-0.062012
1.688206,-0.928487,1.065144,1.667064,-0.344465
1.060773,0.404624,-0.423114,1.338741,0.195910
1.190505,-0.730173,1.632099,1.815740,-0.545322
1.860397,-0.416176,1.490360,1.503757,-0.095618
1.255372,0.669042,-0.564852,1.501382,-0.092344
-0.408743,-0.823821,0.710797,1.334561,0.202214
-0.814452,-0.933996,2.340793,0.701428,1.907102
-1.142322,-0.812804,1.773837,1.192345,0.490450
-1.156474,-0.884417,-0.281375,1.441817,0.005960
-1.013769,-0.906452,1.986446,1.323636,0.221105
0.658602,-0.741190,0.923405,0.999635,0.953787
-1.249646,-0.757717,0.427319,1.330618,0.207023
-0.341518,-0.702629,1.206882,1.457634,-0.021943
-0.721281,-0.900943,1.915576,1.226070,0.415900
-0.446483,-0.206844,0.852535,1.121664,0.647537
-0.751945,0.580903,0.143842,1.224455,0.418615
-0.177583,-0.928487,-0.139636,1.009326,0.925764
1.565550,-0.939504,1.915576,1.484282,-0.068500
0.732903,-0.752208,1.206882,1.782822,-0.508401
1.006521,-0.878909,1.986446,0.981680,0.998595
1.786096,-0.768734,1.419491,1.207497,0.452812
1.158662,-0.818313,1.419491,1.211772,0.442065
0.777720,-0.939504,2.199054,1.871933,-0.622436
0.244637,-0.856874,1.277752,1.506417,-0.107812
0.505282,-0.476772,1.277752,1.207355,0.451224
-0.023084,-0.790769,1.277752,1.593866,-0.245368
-0.700052,-0.388632,1.065144,1.518482,-0.127955
1.893420,-0.697121,0.710797,2.015574,-0.789170
-0.429972,-0.741190,1.561229,1.314373,0.230013
0.052397,-0.922978,2.057315,1.806952,-0.544598
-1.213085,-0.895435,1.915576,1.082904,0.730227
2.136373,-0.873400,2.057315,1.360829,0.140186
0.460465,-0.779752,0.427319,0.302472,3.941548
0.743518,-0.945013,1.277752,1.036353,0.844886
1.718871,-0.735682,1.419491,1.503662,-0.109266
-0.951261,-0.702629,1.490360,1.302356,0.250022
-0.283728,-0.261932,-0.493983,2.082407,-0.865223
-0.350953,0.333010,-0.635722,0.920357,1.159757
0.741159,-0.895435,0.498188,1.150972,0.568132
0.011119,-0.162775,0.002103,1.018398,0.889520
0.987651,-0.928487,1.348621,1.009516,0.912717
1.106769,-0.922978,1.065144,1.506132,-0.114649
-0.194095,-0.294984,-0.352244,1.650059,-0.335232
1.276601,-0.774243,2.482531,1.321831,0.210636
-0.590369,-0.884417,2.836878,1.081289,0.729973
-0.105641,-0.873400,2.340793,1.512117,-0.124928
-0.516067,-0.735682,1.490360,1.361161,0.135839
0.660961,-0.911961,0.994274,1.483665,-0.079732
1.558474,-0.939504,0.852535,0.912615,1.178226
-0.203530,-0.735682,0.498188,0.549759,2.521475
-0.694155,-0.900943,1.844707,1.899578,-0.664478
1.212914,-0.476772,1.277752,1.448894,-0.022371
-0.065542,-0.933996,0.852535,1.412224,0.040390
0.254072,-0.608981,3.403833,1.284400,0.279553
-0.742510,-0.945013,0.923405,1.438112,-0.005013
0.150286,-0.570420,1.702968,1.380826,0.094096
1.248295,-0.933996,3.758180,1.274805,0.293636
1.115025,-0.878909,1.206882,0.448298,3.022343
1.186967,-0.928487,0.852535,0.335390,3.696233
1.166918,-0.041583,0.994274,0.875944,1.277784
-0.749586,-0.553894,0.639927,1.611916,-0.288516
0.872071,-0.840347,1.561229,1.058821,0.772876
-0.807376,0.024522,0.923405,1.045568,0.805433
-1.264978,-0.741190,0.427319,1.368286,0.111960
0.788334,-0.873400,2.340793,1.280600,0.279300
0.956987,-0.834839,1.348621,1.552398,-0.200045
1.282497,-0.812804,1.065144,1.346341,0.151697
-0.281369,-0.878909,1.419491,1.846805,-0.609397
1.856859,-0.873400,1.773837,1.735939,-0.467919
0.162080,-0.928487,1.136013,1.225975,0.386733
-1.053868,-0.829330,0.639927,1.249108,0.338750
1.467661,-0.917470,1.206882,1.141947,0.567286
1.740100,-0.873400,2.199054,1.802155,-0.557982
-0.227118,0.206310,0.427319,1.373654,0.094428
1.073746,-0.845856,2.057315,0.837184,1.384937
-0.892292,-0.306001,1.844707,1.071076,0.731869
2.097454,-0.906452,2.199054,1.278748,0.273832
1.822657,-0.884417,1.561229,1.217472,0.399149
1.030109,-0.757717,2.553401,1.348858,0.137950
-0.773174,-0.945013,1.136013,1.724967,-0.458600
0.094855,-0.757717,1.206882,1.714422,-0.444314
-0.175225,-0.867891,2.624270,1.626878,-0.320905
1.431100,-0.542876,0.214711,1.267110,0.295323
0.473438,-0.911961,1.136013,2.553184,-1.304340
0.323656,-0.928487,0.143842,0.455091,2.961253
-0.400487,-0.889926,2.057315,1.449369,-0.042507
-0.067900,-0.779752,1.136013,1.692714,-0.416233
-0.413461,0.123679,-0.564852,1.103139,0.650810
1.758970,-0.812804,0.852535,1.146744,0.549653
-0.325007,-0.752208,0.923405,1.025618,0.841354
1.829733,-0.636525,0.356450,1.272763,0.281417
1.481814,-0.928487,0.994274,1.629681,-0.327908
0.421545,-0.239897,1.065144,0.899125,1.187327
1.919366,-0.900943,2.411662,1.273665,0.277177
0.267045,-0.631016,-0.423114,1.338741,0.150870
-0.987822,-0.796278,-0.493983,2.082407,-0.886842
0.719930,-0.840347,1.702968,1.441104,-0.032908
0.407393,-0.889926,3.191225,1.245165,0.333687
-0.551449,-0.212353,1.277752,1.634953,-0.338385
-0.948902,-0.834839,0.994274,1.339691,0.148066
1.551398,0.531324,1.419491,1.584176,-0.264100
2.246056,-0.873400,1.277752,1.596003,-0.283030
1.708256,-0.829330,1.490360,1.936154,-0.729977
1.454688,-0.306001,1.702968,1.000300,0.897119
0.625579,-0.377615,1.136013,2.270271,-1.074694
1.008880,-0.052600,0.356450,1.426474,-0.014027
-0.025442,-0.779752,0.498188,1.158049,0.512943
2.021973,-0.895435,2.199054,1.505087,-0.145509
-0.214144,-0.906452,1.702968,1.748954,-0.502179
0.612606,-0.818313,2.340793,1.130927,0.573011
1.190505,-0.911961,0.852535,1.200610,0.418757
0.199820,-0.818313,0.498188,0.505156,2.680836
-0.427613,-0.873400,0.569058,1.482002,-0.109877
1.883985,-0.895435,1.419491,1.858823,-0.643266
-0.777891,-0.498807,0.356450,1.502665,-0.144596
-1.096326,-0.812804,1.490360,2.495661,-1.269280
-0.981925,-0.906452,0.852535,1.582561,-0.269911
-1.264978,-0.856874,-0.068767,0.466586,2.873366
1.396898,-0.157266,1.206882,1.500337,-0.142524
0.797770,-0.922978,1.773837,1.632246,-0.344818
1.837989,-0.399650,1.277752,1.677704,-0.409613
-1.099864,-0.691612,1.702968,1.708437,-0.452516
1.145689,-0.752208,1.490360,1.425952,-0.020640
0.975857,-0.933996,1.490360,2.006692,-0.817883
-0.940647,-0.741190,0.285580,1.321451,0.167361
1.207017,-0.531859,0.214711,0.432861,3.047119
1.072567,0.178766,0.852535,1.099434,0.636187
-0.082053,-0.922978,0.781666,1.672146,-0.405763
0.167977,-0.895435,1.136013,1.630203,-0.346307
-0.428793,0.046557,-0.423114,1.290005,0.226234
0.982933,-0.906452,2.411662,1.078534,0.684868
1.773122,-0.195827,1.136013,1.250960,0.303313
2.033767,-0.878909,0.639927,0.805216,1.454495
0.525331,-0.939504,1.419491,1.094969,0.644348
0.489950,-0.823821,1.277752,1.488130,-0.129695
0.272942,-0.779752,2.340793,1.267823,0.266968
1.411051,-0.900943,3.191225,1.186882,0.434279
-0.243629,-0.829330,0.923405,1.681599,-0.423129
-1.145860,-0.118705,3.403833,1.062478,0.718783
-0.847475,-0.763225,0.852535,1.179947,0.447476
0.826075,-0.796278,0.710797,2.147198,-0.969388
-1.318050,-0.922978,-0.423114,2.209328,-1.029729
0.638552,-0.135231,1.206882,1.465234,-0.095393
-0.304957,-0.223371,0.214711,1.289150,0.221001
0.651526,-0.592455,1.844707,1.399636,0.015450
-1.294463,-0.928487,0.143842,0.323657,3.692219
0.384984,-0.873400,1.986446,1.231770,0.334486
1.250654,-0.878909,2.624270,0.844167,1.319418
-1.191856,-0.862382,2.411662,1.678986,-0.423560
1.006521,-0.939504,0.356450,0.416568,3.118976
-0.276652,-0.768734,2.057315,1.535488,-0.212963
1.723588,-0.945013,2.340793,1.450889,-0.076084
0.078344,-0.856874,0.923405,0.577214,2.311159
-1.262619,-0.939504,2.269923,1.180327,0.440156
-0.326186,-0.118705,-0.210505,1.359451,0.082884
2.017255,-0.553894,1.490360,1.477632,-0.123350
0.941655,-0.878909,1.702968,1.066706,0.697973
-0.968952,-0.933996,1.844707,1.878678,-0.684928
1.465302,-0.928487,1.915576,1.316986,0.159725
0.538304,-0.779752,1.773837,1.105514,0.604763
-0.267217,1.445772,-0.352244,1.687679,-0.442042
-0.477148,-0.845856,1.773837,1.216902,0.355425
1.626878,-0.796278,1.277752,0.674685,1.896342
1.257730,-0.889926,1.419491,1.241318,0.303942
-0.158713,-0.906452,1.632099,1.237898,0.310689
-0.724819,-0.807295,1.773837,1.405146,-0.005651
1.694103,-0.928487,2.057315,1.326296,0.137015
-0.979566,0.151222,0.356450,1.311523,0.163587
-0.783788,-0.498807,0.285580,0.284089,3.937975
0.318939,-0.675086,1.348621,1.619658,-0.349910
-0.900547,-0.851365,2.553401,0.912662,1.097295
-0.711846,-0.708138,0.285580,0.309264,3.762143
-0.807376,-0.774243,-0.068767,1.595291,-0.315219
1.391001,-0.878909,2.128184,1.289530,0.203690
-0.943005,-0.801786,1.490360,1.354986,0.080142
1.032467,-0.862382,1.136013,1.443004,-0.075282
-0.849834,-0.900943,2.128184,1.056588,0.710664
1.255372,-0.823821,2.199054,1.229062,0.322807
1.137433,-0.680595,2.128184,1.112496,0.577217
1.539604,-0.564911,1.348621,1.162609,0.463927
-0.117435,-0.774243,0.994274,1.375554,0.040928
-0.431151,-0.900943,0.994274,1.372039,0.046608
-0.126870,-0.823821,2.411662,1.862100,-0.674922
-0.852193,-0.741190,2.340793,2.072385,-0.909449
-0.049030,-0.911961,0.072972,0.610607,2.142613
0.657422,-0.823821,2.057315,1.391276,0.010926
1.115025,-0.531859,1.419491,1.546698,-0.246450
-0.735433,0.068592,1.206882,1.162372,0.461276
-1.231955,-0.906452,1.915576,1.402011,-0.009415
0.572507,-0.713647,0.639927,0.835949,1.318429
-0.924135,-0.531859,0.781666,1.021343,0.793032
1.361516,-0.801786,0.356450,1.144512,0.498845
0.292992,-0.724664,1.561229,1.006048,0.831786
0.285916,-0.933996,0.781666,0.961968,0.948241
-0.782609,-0.945013,1.206882,0.544392,2.429803
0.735262,0.266906,-0.139636,0.250364,4.164234
0.618503,-0.867891,4.679482,1.398354,-0.005308
-1.293283,-0.945013,-0.068767,1.151732,0.481142
-0.756662,-0.272949,0.639927,1.271670,0.229631
1.449970,-0.548385,0.143842,0.348120,3.488417
-1.110478,-0.928487,1.844707,1.696656,-0.468007
1.000624,-0.917470,0.852535,1.108791,0.577231
1.670516,-0.922978,1.844707,1.318791,0.136515
-0.099744,0.470728,1.561229,1.339976,0.095847
0.414469,-0.933996,0.994274,0.445068,2.918332
-0.468892,-0.917470,0.923405,2.012154,-0.852616
1.578524,-0.873400,2.340793,1.597286,-0.329870
0.711674,-0.548385,1.561229,1.884521,-0.709526
-0.950082,-0.834839,2.553401,1.160614,0.454899
0.117263,-0.939504,1.561229,1.677656,-0.446786
1.617443,-0.768734,1.702968,1.867943,-0.691408
-0.634006,-0.917470,1.065144,1.638991,-0.392833
-0.865166,-0.911961,2.553401,1.357884,0.059577
1.057235,-0.939504,0.072972,1.018113,0.790550
-0.691796,-0.493298,0.072972,0.320617,3.653383
1.258910,-0.851365,0.781666,1.443194,-0.090296
-1.080994,-0.900943,1.348621,1.278130,0.208859
-0.245988,0.283432,-0.564852,1.501382,-0.186927
-0.907624,-0.922978,2.553401,1.193200,0.381056
-0.540834,-0.647542,1.561229,1.289578,0.185305
1.078464,-0.933996,1.490360,1.617806,-0.364633
-0.445304,-0.884417,1.490360,1.340593,0.088736
0.961704,-0.790769,0.498188,1.239845,0.283442
0.560713,-0.878909,2.057315,1.441484,-0.089363
-0.440587,-0.889926,1.419491,1.638136,-0.394532
1.289574,-0.851365,0.852535,1.150449,0.472232
1.132715,-0.933996,2.269923,1.665829,-0.434743
-0.379258,-0.878909,1.206882,1.641651,-0.400768
-0.475968,-0.834839,1.277752,1.118671,0.542585
-0.542014,0.498272,1.844707,0.806689,1.393040
0.422725,-0.267440,0.143842,1.714659,-0.503124
-0.875780,-0.206844,0.994274,1.953871,-0.796334
-1.102223,-0.945013,1.490360,1.524135,-0.227605
1.683489,-0.520842,1.490360,1.377121,0.017698
-0.795582,-0.570420,1.348621,1.319646,0.122644
-0.736613,-0.928487,1.065144,1.232102,0.293919
-0.832143,-0.945013,1.844707,1.415787,-0.050737
0.683369,-0.333545,0.710797,0.896132,1.113754
1.833271,-0.906452,0.639927,0.971990,0.901191
0.137313,-0.939504,1.348621,1.142612,0.483919
-0.427613,-0.856874,0.569058,1.279223,0.198681
1.484173,-0.597964,1.561229,1.658609,-0.429040
-1.288566,-0.867891,0.285580,1.149784,0.466354
0.275301,-0.939504,2.978617,1.826903,-0.650312
-1.042074,-0.873400,0.569058,1.294613,0.167301
-0.079694,-0.779752,1.490360,0.942350,0.978563
0.195103,-0.873400,0.072972,0.277677,3.926701
0.649167,-0.812804,1.419491,1.144084,0.477309
-0.372182,-0.785260,1.277752,1.850130,-0.681844
-0.990181,0.035539,0.923405,0.611652,2.098573
1.596214,-0.895435,2.411662,1.050746,0.691003
1.551398,-0.779752,1.986446,0.923777,1.024910
-1.108119,-0.884417,0.994274,1.089886,0.596762
-0.117435,-0.878909,1.773837,1.561993,-0.294403
-0.902906,-0.438211,-0.564852,1.501382,-0.200439
0.631476,-0.294984,-0.564852,1.501382,-0.200439
-0.053748,-0.939504,1.136013,1.545558,-0.269926
-0.879318,0.905917,0.852535,1.186882,0.378273
2.138732,-0.906452,1.702968,1.633196,-0.399967
1.977156,-0.945013,2.482531,1.287393,0.173348
1.998385,-0.818313,1.206882,1.367811,0.023622
1.801428,-0.790769,1.206882,1.036306,0.723727
-0.731895,-0.928487,1.065144,1.043146,0.705168
1.828554,-0.906452,1.561229,1.666019,-0.448154
-0.308495,-0.895435,3.829050,1.561565,-0.296843
1.551398,-0.895435,1.632099,1.688914,-0.479891
1.395719,-0.884417,1.773837,1.145462,0.464873
1.190505,0.211818,-0.564852,0.721426,1.664201
0.869712,-0.922978,0.852535,1.446472,-0.115837
0.392060,-0.559403,1.490360,1.643931,-0.419074
-0.598624,-0.812804,1.702968,1.270673,0.202038
2.194163,-0.856874,1.702968,1.794080,-0.619515
2.111606,-0.812804,0.569058,0.658155,1.898266
-1.198932,-0.851365,1.986446,1.245355,0.251163
-1.250825,-0.405158,0.923405,0.971658,0.883533
-0.570319,-0.493298,0.994274,1.382109,-0.008202
-1.105761,-0.829330,0.072972,1.030796,0.729757
0.109008,-0.878909,2.340793,1.070554,0.632390
1.697642,-0.878909,2.128184,1.692951,-0.489967
-0.286087,-0.333545,0.285580,1.541425,-0.271341
1.998385,-0.884417,0.710797,0.944345,0.955016
-0.617495,-0.884417,1.773837,1.167739,0.409653
1.276601,-0.311510,1.065144,0.475516,2.708516
-0.044313,-0.945013,1.490360,1.233385,0.271460
-0.667029,-0.840347,3.899919,1.251008,0.235334
0.748235,-0.636525,1.915576,1.131022,0.488725
-0.779071,-0.394141,0.285580,1.082049,0.600736
1.603291,-0.939504,1.419491,1.079009,0.607893
2.007820,-0.724664,1.844707,1.366719,0.015041
-1.025562,-0.261932,0.427319,0.354627,3.382463
1.511298,-0.928487,-0.068767,0.308457,3.679306
0.393240,-0.922978,0.427319,1.154582,0.434173
-1.007872,-0.730173,1.206882,0.889149,1.105767
0.727006,-0.774243,0.852535,1.283593,0.167815
-0.944185,-0.939504,2.482531,1.238135,0.257458
1.376848,-0.922978,2.624270,1.005336,0.786950
-0.115076,-0.653051,0.002103,0.964390,0.893732
1.069028,-0.906452,1.561229,0.694778,1.745322
-0.486583,-0.945013,0.923405,0.614597,2.058232
1.274242,-0.113196,1.490360,1.234192,0.261616
-0.330904,-0.823821,1.632099,0.960115,0.900995
-0.361568,-0.807295,2.128184,1.365674,0.010487
-1.248466,-0.867891,2.199054,1.156719,0.423542
-1.111658,-0.427193,-0.493983,1.562468,-0.313314
0.787155,-0.878909,2.057315,1.332756,0.068255
-0.065542,-0.217862,1.490360,1.083521,0.586402
-0.768456,-0.504315,0.498188,0.677583,1.800619
0.288274,-0.085653,1.986446,1.904186,-0.765911
-0.651697,-0.895435,1.986446,1.463999,-0.162162
-0.454739,-0.933996,1.206882,1.813318,-0.658138
1.497146,-0.823821,2.269923,1.155009,0.420917
0.685728,-0.878909,1.136013,1.203317,0.315439
0.748235,-0.675086,0.781666,1.216142,0.288043
1.639852,-0.917470,2.340793,1.157289,0.411885
-0.847475,-0.900943,3.829050,1.335653,0.054980
0.702239,-0.917470,1.065144,1.264355,0.190055
1.433459,-0.559403,2.199054,1.470317,-0.177562
0.369652,-0.922978,1.206882,1.481147,-0.195228
1.163379,-0.708138,0.923405,1.127032,0.475691
-0.448842,-0.945013,2.199054,1.285778,0.145560
0.075985,-0.719156,1.277752,1.194625,0.328267
0.197462,-0.586946,1.561229,1.367716,-0.006276
0.535946,0.514798,0.781666,0.803696,1.344901
-0.836860,-0.708138,1.490360,1.479722,-0.196444
1.736561,-0.945013,1.632099,1.550545,-0.308023
0.949910,-0.945013,0.994274,1.493735,-0.220320
-0.001855,-0.917470,1.844707,1.061053,0.624831
1.069028,-0.917470,0.710797,0.315440,3.589753
1.835630,-0.746699,1.490360,1.215002,0.281620
1.685848,-0.939504,1.986446,1.474165,-0.191224
-1.057406,-0.906452,1.702968,1.500480,-0.234129
0.618503,-0.708138,1.419491,1.880721,-0.750163
-0.749586,-0.790769,0.781666,1.092689,0.546449
1.175173,-0.889926,0.923405,1.009041,0.749387
0.625579,-0.812804,2.128184,1.792797,-0.644981
2.207137,-0.410667,-0.068767,1.917343,-0.793155
-0.773174,-0.845856,0.569058,1.506465,-0.244955
-0.584472,-0.542876,1.561229,1.321261,0.070812
0.691625,-0.542876,1.419491,1.746674,-0.587396
0.074805,-0.884417,1.773837,1.176384,0.357498
2.125759,-0.614490,1.561229,1.237565,0.229473
1.328494,-0.801786,1.277752,1.821725,-0.683382
-0.591548,-0.867891,1.702968,1.384104,-0.045991
1.537245,-0.884417,0.710797,0.440318,2.834957
-0.608059,-0.928487,1.206882,1.238420,0.225938
-0.639903,-0.487789,0.994274,1.749809,-0.595206
0.088958,-0.504315,1.065144,0.868439,1.128136
0.928681,-0.515333,0.852535,1.274805,0.153205
0.765926,-0.895435,3.332964,1.333801,0.041968
1.689386,-0.873400,1.206882,1.100479,0.520434
0.732903,-0.928487,0.214711,1.298698,0.106594
1.661081,-0.900943,1.277752,1.466755,-0.187759
-0.716563,-0.482281,0.781666,1.470745,-0.194498
0.002863,-0.928487,2.057315,1.564130,-0.339700
-0.373362,-0.768734,2.340793,1.376456,-0.036026
-0.307316,-0.939504,2.199054,1.900623,-0.781428
-0.158713,-0.476772,2.057315,0.986145,0.796468
-0.290804,-0.873400,1.702968,1.152444,0.400171
1.773122,-0.945013,2.057315,1.252053,0.193353
0.219870,-0.796278,1.277752,1.211582,0.274678
2.086839,-0.873400,1.490360,1.605218,-0.403142
-1.209547,-0.928487,1.844707,1.128742,0.450945
-1.025562,-0.911961,2.340793,1.729289,-0.573733
1.395719,-0.526350,1.490360,1.682074,-0.511343
0.377908,-0.796278,2.695140,1.450889,-0.166630
0.217511,-0.928487,1.773837,1.373891,-0.035980
0.554816,-0.487789,1.915576,1.386574,-0.058255
0.037065,-0.922978,1.206882,1.055638,0.618960
0.547740,-0.845856,1.348621,1.072549,0.578091
-0.532579,-0.608981,2.057315,0.875612,1.097021
-0.671746,-0.945013,2.340793,1.277418,0.140413
-0.487762,-0.763225,1.206882,1.281598,0.132186
-0.034878,-0.933996,1.419491,1.451032,-0.168507
0.085420,-0.355580,0.427319,0.972988,0.825346
-0.466533,-0.752208,2.128184,1.010941,0.726965
-1.020845,-0.482281,0.639927,1.158762,0.381538
-0.078515,-0.471263,0.923405,1.317651,0.063183
1.436997,-0.933996,1.136013,1.331093,0.037784
-0.086771,-0.014039,0.710797,1.085089,0.545881
-0.875780,-0.763225,0.994274,1.219420,0.252800
-0.799120,-0.829330,2.128184,1.964369,-0.858541
1.492428,-0.906452,3.262095,1.670769,-0.501996
-0.654056,1.715699,1.632099,1.158667,0.375959
-1.138784,-0.933996,1.986446,1.056351,0.608385
0.879147,-0.939504,1.561229,1.720597,-0.569997
-1.138784,-0.889926,-0.281375,1.373559,-0.043458
-0.866345,-0.553894,1.065144,1.872076,-0.757449
-0.542014,-0.878909,0.781666,1.598758,-0.402773
-0.249526,-0.608981,1.206882,1.293235,0.102041
1.637493,-0.906452,2.199054,1.387951,-0.070331
0.850842,-0.449228,0.427319,0.530616,2.356918
-0.534937,-0.873400,0.994274,1.402486,-0.095975
1.409871,-0.328036,0.214711,1.618518,-0.432960
-0.516067,0.261397,0.639927,1.541045,-0.319459
-0.698872,-0.922978,1.490360,1.589543,-0.392215
0.724648,-0.889926,3.049487,1.279365,0.125605
1.675233,-0.900943,1.348621,1.532875,-0.308446
1.145689,-0.708138,1.632099,1.196192,0.290564
-0.769635,-0.933996,0.710797,1.336793,0.017523
-1.013769,-0.785260,1.702968,1.302593,0.080500
-0.109179,-0.840347,1.702968,1.263833,0.154078
0.456927,-0.724664,0.923405,1.065519,0.579278
-0.332083,-0.945013,0.923405,1.528648,-0.303629
-0.861628,-0.933996,2.907748,1.209730,0.260567
-0.332083,-0.900943,0.852535,1.867135,-0.757112
0.739980,-0.900943,1.702968,1.295326,0.091647
-0.066721,0.922443,1.136013,1.075589,0.553522
-0.742510,-0.900943,2.411662,1.454784,-0.189086
1.420486,-0.829330,1.419491,1.478915,-0.228041
-1.160012,-0.570420,0.569058,1.122662,0.444660
0.090137,-0.531859,1.136013,1.284400,0.110384
0.984113,-0.157266,1.773837,0.899077,1.007904
0.755312,-0.597964,0.923405,1.366861,-0.041439
-0.534937,-0.933996,0.639927,1.726392,-0.586468
-0.955979,-0.245406,0.569058,1.383201,-0.070725
-0.888754,-0.339054,0.285580,1.636236,-0.465656
0.870891,-0.779752,2.128184,1.576195,-0.380189
-0.420537,-0.884417,0.781666,1.105466,0.479345
-1.226058,-0.432702,1.206882,1.650629,-0.486745
-0.845116,-0.840347,1.702968,1.668631,-0.511556
0.068909,-0.691612,1.136013,1.520002,-0.296958
-0.670567,-0.911961,1.915576,1.368951,-0.049123
-1.005513,-0.410667,0.781666,1.472312,-0.222876
-0.833322,-0.592455,0.923405,1.343206,-0.003784
-0.273114,-0.906452,1.065144,1.383866,-0.075825
0.209256,-0.834839,1.277752,1.439062,-0.169288
2.181190,-0.939504,2.482531,2.012344,-0.924408
1.170456,-0.889926,1.136013,1.317983,0.041595
-0.659952,-0.895435,0.923405,1.476777,-0.230847
1.900496,-0.162775,2.907748,1.524373,-0.305402
0.160901,-0.945013,0.852535,1.051031,0.602634
1.692924,-0.856874,1.419491,1.309481,0.056425
1.139792,-0.884417,0.285580,1.185980,0.299501
-0.373362,-0.818313,0.710797,1.766957,-0.644246
-1.235493,-0.928487,1.986446,1.400016,-0.106621
-0.822708,-0.708138,0.923405,1.216332,0.235233
-0.948902,-0.350071,0.002103,0.711450,1.596333
0.193924,-0.906452,1.702968,1.490932,-0.256448
-1.256722,-0.922978,1.206882,1.495445,-0.263904
1.451150,-0.542876,2.128184,1.597143,-0.416977
0.300068,-0.675086,0.143842,1.190350,0.287209
-0.861628,-0.856874,1.702968,1.090076,0.506852
1.434638,0.647007,-0.352244,0.741186,1.490341
1.729485,-0.945013,2.128184,1.581753,-0.395047
1.918187,-0.812804,1.773837,1.449132,-0.190532
0.774182,-0.939504,2.057315,1.429419,-0.158165
0.088958,-0.752208,0.781666,0.436803,2.792448
1.823836,-0.939504,1.277752,0.929667,0.908237
0.271763,-0.184810,0.994274,1.429894,-0.160587
1.466482,-0.917470,0.569058,0.512709,2.407899
0.486411,-0.906452,1.632099,1.419349,-0.144341
0.109008,-0.261932,1.206882,0.960590,0.820912
-0.229476,-0.575929,0.285580,1.108554,0.458264
-0.802658,-0.548385,1.348621,1.184982,0.292246
1.353261,-0.873400,1.561229,1.555580,-0.361514
1.328494,-0.906452,1.632099,1.348621,-0.024625
